[23-May-2017 13:21:27 UTC] PHP Fatal error:  Call to undefined function registerCssFile() in /home/ubuntu/workspace/kids2/views/layouts/main.php on line 26
[23-May-2017 13:21:27 UTC] PHP Stack trace:
[23-May-2017 13:21:27 UTC] PHP   1. {main}() /home/ubuntu/workspace/kids2/kids/index.php:0
[23-May-2017 13:21:27 UTC] PHP   2. yii\base\Application->run() /home/ubuntu/workspace/kids2/kids/index.php:12
[23-May-2017 13:21:27 UTC] PHP   3. yii\web\Application->handleRequest() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Application.php:380
[23-May-2017 13:21:27 UTC] PHP   4. yii\base\Module->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/web/Application.php:102
[23-May-2017 13:21:27 UTC] PHP   5. yii\base\Controller->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:523
[23-May-2017 13:21:27 UTC] PHP   6. yii\base\InlineAction->runWithParams() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:156
[23-May-2017 13:21:27 UTC] PHP   7. call_user_func_array:{/home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57}() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57
[23-May-2017 13:21:27 UTC] PHP   8. app\controllers\SiteController->actionIndex() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57
[23-May-2017 13:21:27 UTC] PHP   9. yii\base\Controller->render() /home/ubuntu/workspace/kids2/controllers/SiteController.php:64
[23-May-2017 13:21:27 UTC] PHP  10. yii\base\Controller->renderContent() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:382
[23-May-2017 13:21:27 UTC] PHP  11. yii\base\View->renderFile() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:396
[23-May-2017 13:21:27 UTC] PHP  12. yii\base\View->renderPhpFile() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/View.php:250
[23-May-2017 13:21:27 UTC] PHP  13. require() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/View.php:328
[23-May-2017 13:50:56 UTC] PHP Fatal error:  Class 'Url' not found in /home/ubuntu/workspace/kids2/views/layouts/main.php on line 34
[23-May-2017 13:50:56 UTC] PHP Stack trace:
[23-May-2017 13:50:56 UTC] PHP   1. {main}() /home/ubuntu/workspace/kids2/kids/index.php:0
[23-May-2017 13:50:56 UTC] PHP   2. yii\base\Application->run() /home/ubuntu/workspace/kids2/kids/index.php:12
[23-May-2017 13:50:56 UTC] PHP   3. yii\web\Application->handleRequest() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Application.php:380
[23-May-2017 13:50:56 UTC] PHP   4. yii\base\Module->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/web/Application.php:102
[23-May-2017 13:50:56 UTC] PHP   5. yii\base\Controller->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:523
[23-May-2017 13:50:56 UTC] PHP   6. yii\base\InlineAction->runWithParams() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:156
[23-May-2017 13:50:56 UTC] PHP   7. call_user_func_array:{/home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57}() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57
[23-May-2017 13:50:56 UTC] PHP   8. app\controllers\SiteController->actionIndex() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57
[23-May-2017 13:50:56 UTC] PHP   9. yii\base\Controller->render() /home/ubuntu/workspace/kids2/controllers/SiteController.php:64
[23-May-2017 13:50:56 UTC] PHP  10. yii\base\Controller->renderContent() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:382
[23-May-2017 13:50:56 UTC] PHP  11. yii\base\View->renderFile() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:396
[23-May-2017 13:50:56 UTC] PHP  12. yii\base\View->renderPhpFile() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/View.php:250
[23-May-2017 13:50:56 UTC] PHP  13. require() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/View.php:328
[23-May-2017 13:51:13 UTC] PHP Fatal error:  Class 'Url' not found in /home/ubuntu/workspace/kids2/views/layouts/main.php on line 34
[23-May-2017 13:51:13 UTC] PHP Stack trace:
[23-May-2017 13:51:13 UTC] PHP   1. {main}() /home/ubuntu/workspace/kids2/kids/index.php:0
[23-May-2017 13:51:13 UTC] PHP   2. yii\base\Application->run() /home/ubuntu/workspace/kids2/kids/index.php:12
[23-May-2017 13:51:13 UTC] PHP   3. yii\web\Application->handleRequest() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Application.php:380
[23-May-2017 13:51:13 UTC] PHP   4. yii\base\Module->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/web/Application.php:102
[23-May-2017 13:51:13 UTC] PHP   5. yii\base\Controller->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:523
[23-May-2017 13:51:13 UTC] PHP   6. yii\base\InlineAction->runWithParams() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:156
[23-May-2017 13:51:13 UTC] PHP   7. call_user_func_array:{/home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57}() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57
[23-May-2017 13:51:13 UTC] PHP   8. app\controllers\SiteController->actionIndex() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57
[23-May-2017 13:51:13 UTC] PHP   9. yii\base\Controller->render() /home/ubuntu/workspace/kids2/controllers/SiteController.php:64
[23-May-2017 13:51:13 UTC] PHP  10. yii\base\Controller->renderContent() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:382
[23-May-2017 13:51:13 UTC] PHP  11. yii\base\View->renderFile() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:396
[23-May-2017 13:51:13 UTC] PHP  12. yii\base\View->renderPhpFile() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/View.php:250
[23-May-2017 13:51:13 UTC] PHP  13. require() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/View.php:328
[23-May-2017 13:51:55 UTC] PHP Fatal error:  Class 'Url' not found in /home/ubuntu/workspace/kids2/views/layouts/main.php on line 34
[23-May-2017 13:51:55 UTC] PHP Stack trace:
[23-May-2017 13:51:55 UTC] PHP   1. {main}() /home/ubuntu/workspace/kids2/kids/index.php:0
[23-May-2017 13:51:55 UTC] PHP   2. yii\base\Application->run() /home/ubuntu/workspace/kids2/kids/index.php:12
[23-May-2017 13:51:55 UTC] PHP   3. yii\web\Application->handleRequest() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Application.php:380
[23-May-2017 13:51:55 UTC] PHP   4. yii\base\Module->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/web/Application.php:102
[23-May-2017 13:51:55 UTC] PHP   5. yii\base\Controller->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:523
